frame_seq,ts_ms,tick,proto_id,payload_len,header_hex,crc16_hex,frame_len
611,87200,872,1,32,4c20012000,20D0,41
612,87400,874,1,32,4c20012000,3F99,41
613,87700,877,1,32,4c20012000,3D60,41
614,87900,879,1,32,4c20012000,EC73,41
615,88300,883,1,32,4c20012000,864C,41
616,88500,885,1,32,4c20012000,C098,41
617,88800,888,1,32,4c20012000,B053,41
618,89000,890,1,32,4c20012000,0043,41
619,89200,892,1,32,4c20012000,C6D7,41
620,89400,894,1,32,4c20012000,D214,41
621,89700,897,1,32,4c20012000,A259,41
622,89900,899,1,32,4c20012000,980E,41
623,90100,901,0,32,11032000,74B7,40
624,90200,902,0,32,11032000,E6D1,40
625,90300,903,0,32,11032000,CDD8,40
626,90400,904,0,32,11032000,6BDD,40
627,90500,905,0,32,11032000,7D6D,40
628,90600,906,0,32,11032000,71B0,40
629,90700,907,0,32,11032000,CE32,40
630,90800,908,0,32,11032000,39DC,40
631,90900,909,0,32,11032000,1A86,40
632,91000,910,0,32,11032000,E42C,40
633,91100,911,0,32,11032000,AB68,40
634,91200,912,0,32,11032000,04BE,40
635,91300,913,0,32,11032000,F9F4,40
